"あ","ア"
"ああうえのえき","ああ上野駅"
"ああぎょくはいにはなうけて","嗚呼玉杯に花うけて"
"ああそれなのに","ああそれなのに"
"ああちゅうしんぐら","あゝ忠臣蔵"
"ああむじょう","噫無情"
"ああもんてんるぱのよはふけて","ああモンテンルパの夜は更けて"
"あありはんと","アアリハント"
"あい","Ｉ"
"あい","Ｉ"
"あい","ｉ"
"あい","アイ"
"あい","鮎"
"あいあい","娃娃"
"あいあいいー","ＩＩＥ"
"あいあいえす","ＩＩＳ"
"あいあいえすえす","ＩＩＳＳ"
"あいあいがさ","相合い傘"
"あいあいさー","アイアイサー"
"あいあいてぃー","ＩＩＴ"
"あいあいてぃー","ＩＩＴ"
"あいあな","ＩＡＮＡ"
"あいあーる","ＩＲ"
"あいあーる","Ｉｒ"
"あいあーるあーる","ＩＲＲ"
"あいあーるえー","ＩＲＡ"
"あいあーるえーえぬ","ＩＲＡＮ"
"あいあーるえす","ＩＲＳ"
"あいあーるえす","ＩＲＳ"
"あいあーるえすえぬ","ＩＲＳＮ"
"あいあーるえぬえー","ＩＲＮＡ"
"あいあーるしー","ＩＲＣ"
"あいあーるびーえむ","ＩＲＢＭ"
"あいあん","アイアン"
"あいあんぐん","アイアン郡"
"あいあんとん","アイアントン"
"あいあんぶるー","アイアンブルー"
"あいあんまんれーす","アイアンマンレース"
"あいいーえー","ＩＥＡ"
"あいいーでぃ","ＩＥＤ"
"あいいろ","藍色"
"あいヴぁんほー","アイヴァンホー"
"あいえーいー","ＩＡＥ"
"あいえーいーえー","ＩＡＥＡ"
"あいえーえー","ＩＡＡ"
"あいえーえす","ＩＡＳ"
"あいえーえっち","ＩＡＨ"
"あいえーえぬえー","ＩＡＮＡ"
"あいえーえるえー","ＩＡＬＡ"
"あいえす","ＩＳ"
"あいえすあい","ＩＳＩ"
"あいえすあいえす","ＩＳＩＳ"
"あいえすあいえす","ＩＳＩＳ"
"あいえすあーるおー","ＩＳＲＯ"
"あいえすえー","ＩＳＡ"
"あいえすえーえふ","ＩＳＡＦ"
"あいえすえすぴー","ＩＳＳＰ"
"あいえすえむ","ＩＳＭ"
"あいえすじー","ＩＳＧ"
"あいえすてぃーえー","ＩＳＴＡ"
"あいえすでぃえぬ","ＩＳＤＮ"
"あいえすでぃびー","ＩＳＤＢ"
"あいえすぴー","ＩＳＰ"
"あいえすびーえー","ＩＳＢＡ"
"あいえっちあい","ＩＨＩ"
"あいえっちおー","ＩＨＯ"
"あいえっちびー","ＩＨＢ"
"あいえーてぃーてぃーしー","ＩＡＴＴＣ"
"あいえぬ","Ｉｎ"
"あいえぬあいえす","ＩＮＩＳ"
"あいえぬあいえぬ","ＩＮＩＮ"
"あいえぬあーる","ＩＮＲ"
"あいえぬあーるあい","ＩＮＲＩ"
"あいえぬいーえす","ＩＮＥＳ"
"あいえぬえー","ＩＮＡ"
"あいえぬえーえっち","ＩＮＡＨ"
"あいえぬえす","ＩＮＳ"
"あいえぬえふえぬ","ＩＮＦＮ"
"あいえぬしー","Ｉｎｃ．"
"あいえぬしーびー","ＩＮＣＢ"
"あいえぬぴーえー","ＩＮＰＡ"
"あいえふえすびー","ＩＦＳＢ"
"あいえふえふ","ＩＦＦ"
"あいえふおー","ＩＦＯ"
"あいえふじぇー","ＩＦＪ"
"あいえふぶい","ＩＦＶ"
"あいえむ","ＩＭ"
"あいえむ","ＩＭ"
"あいえむあい","ＩＭＩ"
"あいえむいー","ＩＭＥ"
"あいえむえー","ＩＭＡ"
"あいえむおー","ＩＭＯ"
"あいえむおー","ＩＭＯ"
"あいえむおー","ＩＭＯ"
"あいえむしーおー","ＩＭＣＯ"
"あいえむてぃーえふいー","ＩＭＴＦＥ"
"あいえむぶい","ＩＭＶ"
"あいえむぶい","ＩＭＶ"
"あいえむゆー","ＩＭＵ"
"あいえむゆー","ＩＭＵ"
"あいえーゆー","ＩＡＵ"
"あいえーゆー","ＩＡＵ"
"あいえるえす","ＩＬＳ"
"あいえるしー","ＩＬＣ"
"あいえんきえん","合縁奇縁"
"あいお","秋穂"
"あいおー","Ｉ／Ｏ"
"あいおい","相生"
"あいおい","相生"
"あいおい","相老"
"あいおいえき","相生駅"
"あいおいえき","相老駅"
"あいおいざし","相生挿し"
"あいおいちょう","相生町"
"あいおいばし","相生橋"
"あいおーえむ","ＩＯＭ"
"あいおし","相生市"
"あいおーしー","ＩＯＣ"
"あいおーしー","ＩＯＣ"
"あいおーじぇー","ＩＯＪ"
"あいおーそうち","Ｉ／Ｏ装置"
"あいおちょう","秋穂町"
"あいおーでぃ","ＩＯＤ"
"あいおーてぃーしー","ＩＯＴＣ"
"あいおーぴー","ＩＯＰ"
"あいおりす","アイオリス"
"あいおろす","アイオロス"
"あいおわ","アイオワ"
"あいおわぐん","アイオワ郡"
"あいおわしゅう","アイオワ州"
"あいがー","アイガー"
"あいがうまれたひ","愛が生まれた日"
"あいがーさん","アイガー山"
"あいかた","相方"
"あいかた","相方"
"あいがた","藍型"
"あいがたこう","Ｉ形鋼"
"あいがーほくへき","アイガー北壁"
"あいがみ","藍紙"
"あいがも","アイガモ"
"あいかわきんざん","相川金山"
"あいかわまち","合川町"
"あいかわまち","相川町"
"あいかわまち","愛川町"
"あいきく","愛輝区"
"あいきどう","合気道"
"あいぎなとう","アイギナ島"
"あいきゅー","ＩＱ"
"あいきゅー","ｉＱ"
"あいきゅーでぃ","ＩＱＤ"
"あいきょう","愛敬"
"あいぎょう","愛敬"
"あいぎょう","愛楽"
"あいぎょうほう","愛敬法"
"あいく","アイク"
"あいくおう","阿育王"
"あいくぎ","間釘"
"あいくち","匕首"
"あいぐん","アイグン"
"あいぐんじょうやく","アイグン条約"
"あいけーあいえー","ＩＫＩＡ"
"あいけねずみ","藍気鼠"
"あいご","アイゴ"
"あいこうぐん","愛甲郡"
"あいこく","愛国"
"あいこくえき","愛国駅"
"あいこくきんろうとう","愛国勤労党"
"あいこくこうしんきょく","愛国行進曲"
"あいこくしゃほう","愛国者法"
"あいこくのはな","愛国の花"
"あいこくふじんかい","愛国婦人会"
"あいこくほう","愛国法"
"あいこさへどろん","アイコサヘドロン"
"あいこだけ","愛子岳"
"あいことば","合言葉"
"あいこら","アイコラ"
"あいさ","アイサ"
"あいざうる","アイザウル"
"あいさかがわ","相坂川"
"あいざっく","アイザック"
"あいざら","間皿"
"あいざわじけん","相沢事件"
"あいさん","愛餐"
"あいさんさん","愛燦燦"
"あいしー","ＩＣ"
"あいしー","ＩＣ"
"あいじー","ＩＧ"
"あいじー","ＩＧ"
"あいじー","ＩＧ"
"あいしーあいてぃーぴー","ＩＣＩＴＰ"
"あいじーあーるえー","ＩＧＲＡ"
"あいしーあーるしー","ＩＣＲＣ"
"あいしーいー","ＩＣＥ"
"あいしーえー","ＩＣＡ"
"あいしーえー","ＩＣＡ"
"あいしーえー","ＩＣＡ"
"あいしーえー","ＩＣＡ"
"あいじぇーえー","ＩＪＡ"
"あいじぇーえぬ","ＩＪＮ"
"あいじぇーえふ","ＩＪＦ"
"あいしーえーおー","ＩＣＡＯ"
"あいじーえす","ＩＧＳ"
"あいじーえふ","ＩＧＦ"
"あいしーえむぴー","ＩＣＭＰ"
"あいしーえむぴーえこー","ＩＣＭＰエコー"
"あいしーおー","ＩＣＯ"
"あいしーおー","ＩＣＯ"
"あいしーおー","ＩＣＯ"
"あいしーおーえす","ＩＣＯＳ"
"あいしーしー","ＩＣＣ"
"あいしーしー","ＩＣＣ"
"あいしーしーえーてぃー","ＩＣＣＡＴ"
"あいしす","アイシス"
"あいしーぜっとえぬ","ＩＣＺＮ"
"あいしたぐろ","藍下黒"
"あいしてあいしてあいしちゃったのよ","愛して愛して愛しちゃったのよ"
"あいしーぴー","ＩＣＰ"
"あいしーぴー","ＩＣＰ"
"あいしーびーえむ","ＩＣＢＭ"
"あいしーびーえる","ＩＣＢＬ"
"あいしーぴーおー","ＩＣＰＯ"
"あいしーびーしー","ＩＣＢＣ"
"あいしーゆー","ＩＣＵ"
"あいしーゆー","ＩＣＵ"
"あいしーゆー","ＩＣＵ"
"あいしーゆー","ＩＣＵ"
"あいしょ","愛書"
"あいしょうちょう","愛荘町"
"あいじょうほるもん","愛情ホルモン"
"あいしょか","愛書家"
"あいしょっと","ｉショット"
"あいじーわい","ＩＧＹ"
"あいしんかくら","愛新覚羅"
"あいしんぎょろ","アイシンギョロ"
"あいず","会津"
"あいすあんしゅてぃーる","アイスアンシュティール"
"あいすかげりゅう","愛洲陰流"
"あいすきゃんでー","アイスキャンデー"
"あいすくりーむさんでー","アイスクリームサンデー"
"あいすこーひー","アイスコーヒー"
"あいすてぃー","アイスティー"
"あいすばいん","アイスバイン"
"あいすばーん","アイスバーン"
"あいすぴっく","アイスピック"
"あいすぴっける","アイスピッケル"
"あいすぷらいす","アイスプライス"
"あいすまん","アイスマン"
"あいずみ","藍墨"
"あいすらんど","アイスランド"
"あいすらんどすぱー","アイスランドスパー"
"あいするってこわい","愛するってこわい"
"あいすろーり","アイスローリ"
"あいぜなは","アイゼナハ"
"あいぜん","アイゼン"
"あいぜんおう","愛染王"
"あいぜんかつら","愛染かつら"
"あいせんとりす","アイセントリス"
"あいぜんまつり","愛染祭り"
"あいぜんみょうおう","愛染明王"
"あいぜんやきょく","愛染夜曲"
"あいそ","アイソ"
"あいそ","愛想"
"あいそくろなす","アイソクロナス"
"あいそくろーん","アイソクローン"
